env,mutation,k,elapse,profit
0,0,2,64,1160.975
0,0,2,64,1220.4
0,0,2,64,1541.65
0,0,2,64,1214.25
0,0,2,64,1176.0
0,0,2,64,1294.225
0,0,2,64,825.625
0,0,2,64,1567.975
0,0,2,64,1263.4
0,0,2,64,1606.15
0,0,2,64,1213.275
0,0,2,64,1283.525
0,0,2,64,901.25
0,0,2,64,768.275
0,0,2,64,1058.95
0,0,2,64,1353.325
0,0,2,64,1412.275
0,0,2,64,747.5
0,0,2,64,736.075
0,0,2,64,1008.75
0,0,2,128,986.45
0,0,2,128,1397.85
0,0,2,128,1016.6
0,0,2,128,1355.2
0,0,2,128,1456.7
0,0,2,128,1025.1
0,0,2,128,740.8
0,0,2,128,1156.1
0,0,2,128,1003.625
0,0,2,128,906.775
0,0,2,128,1050.125
0,0,2,128,1197.475
0,0,2,128,1516.2
0,0,2,128,1225.875
0,0,2,128,1079.375
0,0,2,128,1021.025
0,0,2,128,1027.4
0,0,2,128,776.9
0,0,2,128,1379.35
0,0,2,128,1250.25
0,0,2,128,1179.125
0,0,2,128,571.325
0,0,2,128,1256.975
0,0,2,128,1140.15
0,0,2,128,1276.95
0,0,2,128,1676.85
0,0,2,128,785.8
0,0,2,128,807.275
0,0,2,128,884.85
0,0,2,128,1083.2
0,0,2,128,945.125
0,0,2,128,1448.475
0,0,2,128,863.8
0,0,2,128,1348.65
0,0,2,128,1045.3
0,0,2,128,1312.525
0,0,2,128,1398.4
0,0,2,128,934.725
0,0,2,128,1126.45
0,0,2,128,1808.3
0,0,2,128,699.7
0,0,2,128,756.7
0,0,2,128,1155.125
0,0,2,128,1567.275
0,0,2,128,1477.85
0,0,2,128,1332.05
0,0,2,128,1057.6
0,0,2,128,668.95
0,0,2,128,1322.25
0,0,2,128,1095.9
0,0,2,256,1268.45
0,0,2,256,849.7
0,0,2,256,1159.4
0,0,2,256,1348.35
0,0,2,256,1155.775
0,0,2,256,1317.575
0,0,2,256,1527.475
0,0,2,256,1539.0
0,0,2,256,1196.275
0,0,2,256,1310.475
0,0,2,256,570.325
0,0,2,256,1465.65
0,0,2,256,1187.975
0,0,2,256,1104.875
0,0,2,256,1180.225
0,0,2,256,722.35
0,0,2,256,1335.95
0,0,2,256,1228.15
0,0,2,256,1171.175
0,0,2,256,986.425
0,0,2,256,1297.425
0,0,2,256,1182.625
0,0,2,256,996.0
0,0,2,256,1621.775
0,0,2,256,820.875
0,0,2,256,1231.2
0,0,2,256,1090.95
0,0,2,256,1206.775
0,0,2,256,1486.4
0,0,2,256,1169.875
0,0,2,256,896.65
0,0,2,256,1165.175
0,0,2,256,1520.85
0,0,2,256,1175.85
0,0,2,256,1426.625
0,0,2,256,1264.5
0,0,2,256,1085.85
0,0,2,256,1049.225
0,0,2,256,1488.725
0,0,2,256,1517.725
0,0,2,256,1731.0
0,0,2,256,1274.45
0,0,2,256,1425.425
0,0,2,256,1733.075
0,0,2,256,1236.8
0,0,2,256,1063.025
0,0,2,256,1176.525
0,0,2,256,1238.0
0,0,2,256,1112.35
0,0,2,256,1021.075
0,0,4,32,850.35
0,0,4,32,1067.725
0,0,4,32,1090.625
0,0,4,32,1079.95
0,0,4,32,636.975
0,0,4,32,1054.225
0,0,4,32,1804.175
0,0,4,32,1296.05
0,0,4,32,932.85
0,0,4,32,1221.225
0,0,4,32,938.525
0,0,4,32,1160.375
0,0,4,32,1354.375
0,0,4,32,1192.95
0,0,4,32,1037.35
0,0,4,32,1557.9
0,0,4,32,1309.35
0,0,4,32,1403.425
0,0,4,32,908.225
0,0,4,32,1536.65
0,0,4,32,827.8
0,0,4,32,1073.775
0,0,4,32,980.175
0,0,4,32,832.1
0,0,4,32,1331.7
0,0,4,32,1573.825
0,0,4,32,509.175
0,0,4,32,1541.575
0,0,4,32,1774.95
0,0,4,32,1455.825
0,0,4,32,1696.95
0,0,4,32,1307.95
0,0,4,32,1458.975
0,0,4,32,1340.3
0,0,4,32,1473.75
0,0,4,32,1217.675
0,0,4,32,1580.875
