env,k,elapse,profit
0,2,256,2664.4
0,2,256,1607.6
0,2,256,1986.8
0,2,256,2340.95
0,2,256,1795.475
0,2,256,889.85
0,2,256,2426.575
0,2,256,2368.85
0,2,256,2108.1
0,2,256,2399.45
0,2,256,2340.3
0,2,256,2054.075
0,2,256,1531.275
0,2,256,1787.425
0,2,256,2343.95
0,2,256,2512.25
0,2,256,2788.825
0,2,256,2161.3
0,2,256,1862.8
0,2,256,2591.275
0,2,256,2768.3
0,2,256,1881.05
0,2,256,2521.725
0,2,256,1470.75
0,2,256,2228.05
0,2,256,2984.8
0,2,256,2232.425
0,2,256,3303.125
0,2,256,1907.775
0,2,256,2368.5
0,2,256,2192.175
0,2,256,1560.9
0,2,256,1947.625
0,2,256,2079.175
0,2,256,1835.625
0,2,256,2468.3
0,3,32,2721.225
0,3,32,2038.475
0,3,32,2267.525
0,3,32,2278.6
0,3,32,1195.825
0,3,32,1653.95
0,3,32,1783.325
0,3,32,2453.825
0,3,32,3108.6
0,3,32,2274.25
0,3,32,3311.125
0,3,32,730.325
0,3,32,2155.875
0,3,32,1966.775
0,3,32,1985.65
0,3,32,1859.75
0,3,32,1769.875
0,3,32,2694.675
0,3,32,2468.625
0,3,32,2261.825
0,3,32,2111.175
0,3,32,1497.4
0,3,32,2373.025
0,3,32,2541.325
0,3,32,2231.4
0,3,32,1840.65
0,3,32,2257.525
0,3,32,2383.975
0,3,32,2641.075
0,3,32,2757.475
0,3,32,1778.375
0,3,32,2079.7
0,3,32,1505.225
0,3,32,1632.15
0,3,32,1923.5
0,3,32,1755.35
0,3,32,2184.375
0,3,32,1884.0
0,3,32,2254.825
0,3,32,1802.0
0,3,32,2925.65
0,3,32,2194.575
0,3,32,2585.8
0,3,32,3001.325
0,3,32,2575.35
0,3,32,1547.525
0,3,32,2143.15
0,3,32,1865.85
0,3,32,2532.35
0,3,32,1738.875
0,3,64,1892.6
0,3,64,2847.4
0,3,64,2768.45
0,3,64,2453.9
0,3,64,2343.075
0,3,64,1981.725
0,3,64,2249.775
0,3,64,2605.025
0,3,64,2649.225
0,3,64,3125.375
0,3,64,1673.825
0,3,64,2469.1
0,3,64,2659.275
0,3,64,2373.725
0,3,64,2295.475
0,3,64,2947.5
0,3,64,2031.85
0,3,64,2434.325
0,3,64,2171.0
